timestamp,datetime,open,high,low,close,volume
1703255400,2023-12-22T09:30:00.000-05:00,96.61,96.61,96.61,96.61,491
1703255580,2023-12-22T09:33:00.000-05:00,96.43,96.48,96.43,96.48,684
1703255640,2023-12-22T09:34:00.000-05:00,96.48,96.48,96.48,96.48,320
1703256360,2023-12-22T09:46:00.000-05:00,96.51,97.0,96.51,97.0,1431
1703257260,2023-12-22T10:01:00.000-05:00,96.53,97.065,96.53,97.065,203
1703257320,2023-12-22T10:02:00.000-05:00,97.29,97.29,97.28,97.28,334
1703257680,2023-12-22T10:08:00.000-05:00,96.925,96.925,96.925,96.925,102
1703258580,2023-12-22T10:23:00.000-05:00,97.06,97.06,97.06,97.06,395
1703258640,2023-12-22T10:24:00.000-05:00,96.88,96.88,96.88,96.88,294
1703259000,2023-12-22T10:30:00.000-05:00,97.11,97.11,97.11,97.11,153
1703259840,2023-12-22T10:44:00.000-05:00,96.79,96.79,96.79,96.79,124
1703260560,2023-12-22T10:56:00.000-05:00,96.83,96.915,96.8,96.915,1409
1703260680,2023-12-22T10:58:00.000-05:00,96.91,97.04,96.91,97.04,683
1703260800,2023-12-22T11:00:00.000-05:00,97.05,97.05,96.86,96.86,496
1703260860,2023-12-22T11:01:00.000-05:00,96.99,97.0363,96.98,97.0363,1176
1703260920,2023-12-22T11:02:00.000-05:00,97.04,97.05,97.0,97.0,893
1703260980,2023-12-22T11:03:00.000-05:00,97.03,97.08,96.965,97.08,1547
1703261040,2023-12-22T11:04:00.000-05:00,96.845,96.97,96.845,96.97,708
1703261760,2023-12-22T11:16:00.000-05:00,96.95,96.96,96.95,96.96,733
1703262120,2023-12-22T11:22:00.000-05:00,97.25,97.25,97.04,97.04,570
1703262180,2023-12-22T11:23:00.000-05:00,96.98,96.98,96.98,96.98,108
1703262780,2023-12-22T11:33:00.000-05:00,97.3128,97.3128,97.3128,97.3128,346
1703263560,2023-12-22T11:46:00.000-05:00,97.18,97.18,97.18,97.18,252
1703263620,2023-12-22T11:47:00.000-05:00,97.05,97.05,97.05,97.05,139
1703264220,2023-12-22T11:57:00.000-05:00,96.795,96.795,96.795,96.795,100
1703264400,2023-12-22T12:00:00.000-05:00,96.872,96.872,96.872,96.872,163
1703265000,2023-12-22T12:10:00.000-05:00,96.77,96.77,96.77,96.77,221
1703265660,2023-12-22T12:21:00.000-05:00,96.91,96.91,96.91,96.91,146
1703265840,2023-12-22T12:24:00.000-05:00,96.94,96.95,96.94,96.94,833
1703266560,2023-12-22T12:36:00.000-05:00,96.95,96.95,96.95,96.95,307
1703266620,2023-12-22T12:37:00.000-05:00,97.01,97.01,97.01,97.01,254
1703266860,2023-12-22T12:41:00.000-05:00,96.89,96.89,96.89,96.89,108
1703266920,2023-12-22T12:42:00.000-05:00,96.95,97.07,96.91,97.07,829
1703267040,2023-12-22T12:44:00.000-05:00,97.23,97.26,97.23,97.26,263
1703267160,2023-12-22T12:46:00.000-05:00,97.2,97.25,97.2,97.25,219
1703267220,2023-12-22T12:47:00.000-05:00,97.15,97.15,97.11,97.15,632
1703267340,2023-12-22T12:49:00.000-05:00,97.2,97.2,97.2,97.2,446
1703268120,2023-12-22T13:02:00.000-05:00,97.105,97.105,97.105,97.105,100
1703270880,2023-12-22T13:48:00.000-05:00,96.95,96.95,96.95,96.95,240
1703271540,2023-12-22T13:59:00.000-05:00,96.73,96.73,96.73,96.73,411
1703271600,2023-12-22T14:00:00.000-05:00,96.745,96.745,96.745,96.745,100
1703272140,2023-12-22T14:09:00.000-05:00,96.705,96.705,96.705,96.705,220
1703272260,2023-12-22T14:11:00.000-05:00,96.54,96.54,96.54,96.54,154
1703272440,2023-12-22T14:14:00.000-05:00,96.54,96.54,96.54,96.54,100
1703272620,2023-12-22T14:17:00.000-05:00,96.52,96.52,96.52,96.52,245
1703272680,2023-12-22T14:18:00.000-05:00,96.37,96.37,96.37,96.37,306
1703272740,2023-12-22T14:19:00.000-05:00,96.15,96.15,96.15,96.15,101
1703272920,2023-12-22T14:22:00.000-05:00,96.16,96.16,96.16,96.16,103
1703272980,2023-12-22T14:23:00.000-05:00,96.16,96.16,96.16,96.16,659
1703273100,2023-12-22T14:25:00.000-05:00,95.79,95.79,95.79,95.79,104
1703273280,2023-12-22T14:28:00.000-05:00,95.82,95.82,95.82,95.82,110
1703273400,2023-12-22T14:30:00.000-05:00,95.79,95.79,95.76,95.76,261
1703273580,2023-12-22T14:33:00.000-05:00,95.99,96.05,95.88,96.05,1392
1703273880,2023-12-22T14:38:00.000-05:00,96.24,96.25,96.24,96.25,616
1703274540,2023-12-22T14:49:00.000-05:00,96.09,96.09,96.08,96.08,311
1703274600,2023-12-22T14:50:00.000-05:00,96.075,96.075,96.075,96.075,101
1703274720,2023-12-22T14:52:00.000-05:00,95.95,95.95,95.95,95.95,128
1703274900,2023-12-22T14:55:00.000-05:00,95.87,95.87,95.87,95.87,144
1703275080,2023-12-22T14:58:00.000-05:00,95.86,95.86,95.86,95.86,119
1703275260,2023-12-22T15:01:00.000-05:00,95.86,95.86,95.86,95.86,183
1703275380,2023-12-22T15:03:00.000-05:00,95.86,95.86,95.86,95.86,101
1703275440,2023-12-22T15:04:00.000-05:00,96.15,96.16,96.15,96.16,463
1703275560,2023-12-22T15:06:00.000-05:00,96.04,96.04,96.04,96.04,110
1703275740,2023-12-22T15:09:00.000-05:00,96.04,96.04,96.04,96.04,216
1703275920,2023-12-22T15:12:00.000-05:00,95.87,95.87,95.87,95.87,100
1703276040,2023-12-22T15:14:00.000-05:00,96.06,96.06,96.06,96.06,165
1703276220,2023-12-22T15:17:00.000-05:00,96.07,96.07,96.07,96.07,110
1703276280,2023-12-22T15:18:00.000-05:00,96.04,96.04,96.04,96.04,231
1703276340,2023-12-22T15:19:00.000-05:00,95.9557,95.9557,95.9557,95.9557,186
1703276400,2023-12-22T15:20:00.000-05:00,96.04,96.04,96.04,96.04,176
1703276580,2023-12-22T15:23:00.000-05:00,95.9,95.9,95.9,95.9,102
1703276700,2023-12-22T15:25:00.000-05:00,95.94,95.94,95.94,95.94,101
1703276880,2023-12-22T15:28:00.000-05:00,95.94,96.15,95.94,96.15,308
1703277000,2023-12-22T15:30:00.000-05:00,96.15,96.15,96.15,96.15,1196
1703277060,2023-12-22T15:31:00.000-05:00,96.14,96.14,96.14,96.14,245
1703277240,2023-12-22T15:34:00.000-05:00,96.135,96.135,96.135,96.135,100
1703277360,2023-12-22T15:36:00.000-05:00,95.96,95.96,95.96,95.96,100
1703277420,2023-12-22T15:37:00.000-05:00,95.96,95.96,95.96,95.96,155
1703277600,2023-12-22T15:40:00.000-05:00,96.02,96.02,96.02,96.02,897
1703277660,2023-12-22T15:41:00.000-05:00,96.11,96.12,96.11,96.12,286
1703277840,2023-12-22T15:44:00.000-05:00,96.26,96.26,96.26,96.26,129
1703277900,2023-12-22T15:45:00.000-05:00,96.2,96.28,96.2,96.28,898
1703278260,2023-12-22T15:51:00.000-05:00,96.5,96.5,96.415,96.415,403
1703278380,2023-12-22T15:53:00.000-05:00,96.5,96.5,96.5,96.5,445
1703278440,2023-12-22T15:54:00.000-05:00,96.63,96.63,96.39,96.39,594
1703278500,2023-12-22T15:55:00.000-05:00,96.38,96.38,96.38,96.38,375
1703278740,2023-12-22T15:59:00.000-05:00,96.46,96.48,96.35,96.48,1851
1703278800,2023-12-22T16:00:00.000-05:00,96.35,96.35,96.35,96.35,8679
1703601000,2023-12-26T09:30:00.000-05:00,96.93,96.93,96.93,96.93,288
1703601120,2023-12-26T09:32:00.000-05:00,97.1,97.1,97.1,97.1,106
1703601240,2023-12-26T09:34:00.000-05:00,96.86,96.86,96.86,96.86,116
1703601480,2023-12-26T09:38:00.000-05:00,96.71,96.71,96.71,96.71,129
1703601660,2023-12-26T09:41:00.000-05:00,96.0,96.0,96.0,96.0,499
1703601900,2023-12-26T09:45:00.000-05:00,96.0,96.0,96.0,96.0,112
1703602080,2023-12-26T09:48:00.000-05:00,95.59,95.59,95.59,95.59,101
1703602200,2023-12-26T09:50:00.000-05:00,95.57,95.57,95.57,95.57,109
1703602440,2023-12-26T09:54:00.000-05:00,95.61,95.61,95.61,95.61,100
1703602620,2023-12-26T09:57:00.000-05:00,95.6,95.6,95.6,95.6,181
1703602800,2023-12-26T10:00:00.000-05:00,95.71,95.71,95.71,95.71,100
1703602920,2023-12-26T10:02:00.000-05:00,96.27,96.27,96.27,96.27,447
1703603040,2023-12-26T10:04:00.000-05:00,96.09,96.12,96.09,96.12,982
1703603100,2023-12-26T10:05:00.000-05:00,96.09,96.1,96.09,96.1,5008
1703603220,2023-12-26T10:07:00.000-05:00,96.21,96.21,96.21,96.21,100
1703603400,2023-12-26T10:10:00.000-05:00,96.12,96.12,96.12,96.12,239
1703603580,2023-12-26T10:13:00.000-05:00,96.16,96.16,96.16,96.16,100
1703603760,2023-12-26T10:16:00.000-05:00,96.24,96.24,96.24,96.24,106
1703604000,2023-12-26T10:20:00.000-05:00,96.07,96.07,96.07,96.07,109
1703604180,2023-12-26T10:23:00.000-05:00,95.97,95.97,95.97,95.97,107
1703604360,2023-12-26T10:26:00.000-05:00,96.24,96.35,96.24,96.35,269
1703604420,2023-12-26T10:27:00.000-05:00,96.37,96.74,96.34,96.74,1690
1703604600,2023-12-26T10:30:00.000-05:00,96.68,96.68,96.68,96.68,101
1703604660,2023-12-26T10:31:00.000-05:00,96.66,96.66,96.66,96.66,448
1703604780,2023-12-26T10:33:00.000-05:00,96.72,96.72,96.72,96.72,100
1703604960,2023-12-26T10:36:00.000-05:00,96.67,96.67,96.67,96.67,100
1703605140,2023-12-26T10:39:00.000-05:00,96.69,96.69,96.69,96.69,100
1703605320,2023-12-26T10:42:00.000-05:00,96.76,96.76,96.76,96.76,122
1703605560,2023-12-26T10:46:00.000-05:00,96.85,96.85,96.84,96.84,337
1703605620,2023-12-26T10:47:00.000-05:00,96.86,96.86,96.86,96.86,106
1703605740,2023-12-26T10:49:00.000-05:00,96.61,96.61,96.61,96.61,358
1703605920,2023-12-26T10:52:00.000-05:00,96.41,96.41,96.41,96.41,106
1703606100,2023-12-26T10:55:00.000-05:00,96.41,96.41,96.41,96.41,163
1703606280,2023-12-26T10:58:00.000-05:00,96.39,96.39,96.39,96.39,101
1703606700,2023-12-26T11:05:00.000-05:00,96.4,96.4,96.35,96.35,306
1703606880,2023-12-26T11:08:00.000-05:00,96.38,96.38,96.38,96.38,102
1703606940,2023-12-26T11:09:00.000-05:00,96.44,96.72,96.44,96.72,305
1703607060,2023-12-26T11:11:00.000-05:00,96.65,96.65,96.65,96.65,111
1703607300,2023-12-26T11:15:00.000-05:00,96.59,96.59,96.59,96.59,103
1703607480,2023-12-26T11:18:00.000-05:00,96.58,96.58,96.58,96.58,101
1703607660,2023-12-26T11:21:00.000-05:00,96.63,96.63,96.63,96.63,106
1703607840,2023-12-26T11:24:00.000-05:00,96.58,96.58,96.58,96.58,123
1703608080,2023-12-26T11:28:00.000-05:00,96.58,96.58,96.58,96.58,200
1703608440,2023-12-26T11:34:00.000-05:00,96.41,96.41,96.41,96.41,100
1703608620,2023-12-26T11:37:00.000-05:00,96.47,96.47,96.47,96.47,100
1703608800,2023-12-26T11:40:00.000-05:00,96.505,96.505,96.505,96.505,251
1703608860,2023-12-26T11:41:00.000-05:00,96.37,96.37,96.37,96.37,201
1703609040,2023-12-26T11:44:00.000-05:00,96.38,96.38,96.38,96.38,100
1703609220,2023-12-26T11:47:00.000-05:00,96.36,96.425,96.36,96.425,213
1703609640,2023-12-26T11:54:00.000-05:00,96.1,96.1,96.1,96.1,130
1703609820,2023-12-26T11:57:00.000-05:00,96.16,96.16,96.16,96.16,151
1703610000,2023-12-26T12:00:00.000-05:00,96.16,96.16,96.16,96.16,108
1703610060,2023-12-26T12:01:00.000-05:00,96.225,96.225,96.225,96.225,391
1703610240,2023-12-26T12:04:00.000-05:00,96.25,96.25,96.23,96.23,264
1703610300,2023-12-26T12:05:00.000-05:00,96.49,96.49,96.49,96.49,157
1703610360,2023-12-26T12:06:00.000-05:00,96.35,96.35,96.35,96.35,210
1703610420,2023-12-26T12:07:00.000-05:00,96.32,96.32,96.32,96.32,100
1703610540,2023-12-26T12:09:00.000-05:00,96.28,96.28,96.28,96.28,157
1703610600,2023-12-26T12:10:00.000-05:00,96.2,96.455,96.2,96.455,214
1703610780,2023-12-26T12:13:00.000-05:00,96.485,96.485,96.485,96.485,100
1703610960,2023-12-26T12:16:00.000-05:00,96.485,96.485,96.485,96.485,146
1703611140,2023-12-26T12:19:00.000-05:00,96.36,96.36,96.33,96.33,200
1703611320,2023-12-26T12:22:00.000-05:00,96.64,96.64,96.64,96.64,431
1703611380,2023-12-26T12:23:00.000-05:00,96.68,96.68,96.68,96.68,111
1703611560,2023-12-26T12:26:00.000-05:00,96.9,96.9,96.9,96.9,445
1703611740,2023-12-26T12:29:00.000-05:00,96.94,96.94,96.94,96.94,140
1703611920,2023-12-26T12:32:00.000-05:00,96.93,96.93,96.93,96.93,125
1703612100,2023-12-26T12:35:00.000-05:00,96.99,96.99,96.99,96.99,259
1703612160,2023-12-26T12:36:00.000-05:00,96.73,96.73,96.73,96.73,100
1703612340,2023-12-26T12:39:00.000-05:00,96.62,96.62,96.62,96.62,119
1703612520,2023-12-26T12:42:00.000-05:00,96.87,96.87,96.87,96.87,100
1703612700,2023-12-26T12:45:00.000-05:00,96.73,96.73,96.73,96.73,105
1703612940,2023-12-26T12:49:00.000-05:00,96.62,96.62,96.62,96.62,133
1703613120,2023-12-26T12:52:00.000-05:00,96.68,96.68,96.68,96.68,356
1703613300,2023-12-26T12:55:00.000-05:00,96.71,96.71,96.71,96.71,145
1703613480,2023-12-26T12:58:00.000-05:00,96.81,96.81,96.76,96.77,781
1703613600,2023-12-26T13:00:00.000-05:00,96.865,96.865,96.865,96.865,234
1703613720,2023-12-26T13:02:00.000-05:00,96.76,96.76,96.76,96.76,111
1703613900,2023-12-26T13:05:00.000-05:00,96.74,96.74,96.74,96.74,118
1703614080,2023-12-26T13:08:00.000-05:00,96.73,96.73,96.73,96.73,105
1703614260,2023-12-26T13:11:00.000-05:00,96.76,96.76,96.76,96.76,131
1703614440,2023-12-26T13:14:00.000-05:00,96.93,96.93,96.93,96.93,109
1703614500,2023-12-26T13:15:00.000-05:00,96.79,96.98,96.79,96.94,612
1703614680,2023-12-26T13:18:00.000-05:00,96.79,96.79,96.79,96.79,100
1703614800,2023-12-26T13:20:00.000-05:00,96.99,96.99,96.99,96.99,366
1703614860,2023-12-26T13:21:00.000-05:00,96.87,96.87,96.87,96.87,100
1703614920,2023-12-26T13:22:00.000-05:00,97.07,97.07,96.995,96.995,705
1703614980,2023-12-26T13:23:00.000-05:00,97.08,97.08,97.07,97.07,664
1703615100,2023-12-26T13:25:00.000-05:00,97.02,97.02,97.02,97.02,101
1703615220,2023-12-26T13:27:00.000-05:00,96.98,96.98,96.98,96.98,107
1703615460,2023-12-26T13:31:00.000-05:00,96.98,96.98,96.98,96.98,100
1703615700,2023-12-26T13:35:00.000-05:00,97.01,97.01,96.95,96.95,857
1703615820,2023-12-26T13:37:00.000-05:00,96.75,96.75,96.75,96.75,101
1703616000,2023-12-26T13:40:00.000-05:00,96.78,96.78,96.78,96.78,100
1703616240,2023-12-26T13:44:00.000-05:00,96.63,96.63,96.63,96.63,101
1703616420,2023-12-26T13:47:00.000-05:00,96.65,96.65,96.63,96.63,490
1703616600,2023-12-26T13:50:00.000-05:00,96.46,96.46,96.42,96.42,303
1703616720,2023-12-26T13:52:00.000-05:00,96.62,96.62,96.62,96.62,166
1703616840,2023-12-26T13:54:00.000-05:00,96.37,96.49,96.37,96.49,202
1703617020,2023-12-26T13:57:00.000-05:00,96.6,96.6,96.43,96.43,865
1703617080,2023-12-26T13:58:00.000-05:00,96.2901,96.49,96.2901,96.49,341
1703617140,2023-12-26T13:59:00.000-05:00,96.71,96.71,96.71,96.71,236
1703617200,2023-12-26T14:00:00.000-05:00,96.39,96.39,96.39,96.39,131
1703617380,2023-12-26T14:03:00.000-05:00,96.42,96.81,96.42,96.81,570
1703617560,2023-12-26T14:06:00.000-05:00,96.88,96.88,96.88,96.88,211
1703617800,2023-12-26T14:10:00.000-05:00,96.85,96.85,96.85,96.85,114
1703617980,2023-12-26T14:13:00.000-05:00,96.73,96.73,96.73,96.73,305
1703618040,2023-12-26T14:14:00.000-05:00,96.65,96.66,96.65,96.65,800
1703618100,2023-12-26T14:15:00.000-05:00,96.76,96.76,96.76,96.76,112
1703618220,2023-12-26T14:17:00.000-05:00,96.75,96.75,96.75,96.75,100
1703618280,2023-12-26T14:18:00.000-05:00,96.97,96.97,96.97,96.97,127
1703618340,2023-12-26T14:19:00.000-05:00,96.75,97.03,96.75,97.03,405
1703618580,2023-12-26T14:23:00.000-05:00,96.81,97.025,96.81,97.025,429
1703618760,2023-12-26T14:26:00.000-05:00,96.74,96.74,96.74,96.74,100
1703618940,2023-12-26T14:29:00.000-05:00,96.72,96.72,96.72,96.72,105
1703619180,2023-12-26T14:33:00.000-05:00,96.81,96.81,96.81,96.81,224
