timestamp,datetime,open,high,low,close,volume
1703246400,2023-12-22T07:00:00.000-05:00,8.2,8.2,8.2,8.2,260
1703247960,2023-12-22T07:26:00.000-05:00,8.27,8.27,8.27,8.27,100
1703252700,2023-12-22T08:45:00.000-05:00,8.3,8.3,8.3,8.3,100
1703252820,2023-12-22T08:47:00.000-05:00,8.3,8.3,8.3,8.3,1729
1703255400,2023-12-22T09:30:00.000-05:00,8.39,8.405,8.39,8.405,8110
1703255460,2023-12-22T09:31:00.000-05:00,8.4055,8.41,8.4055,8.41,534
1703255520,2023-12-22T09:32:00.000-05:00,8.357,8.357,8.357,8.357,208
1703255640,2023-12-22T09:34:00.000-05:00,8.3572,8.39,8.3572,8.38,3413
1703255700,2023-12-22T09:35:00.000-05:00,8.41,8.42,8.41,8.42,304
1703255760,2023-12-22T09:36:00.000-05:00,8.4,8.4,8.4,8.4,114
1703255820,2023-12-22T09:37:00.000-05:00,8.41,8.43,8.41,8.426,4611
1703255880,2023-12-22T09:38:00.000-05:00,8.43,8.43,8.43,8.43,425
1703255940,2023-12-22T09:39:00.000-05:00,8.43,8.43,8.43,8.43,461
1703256000,2023-12-22T09:40:00.000-05:00,8.41,8.415,8.4,8.4,736
1703256060,2023-12-22T09:41:00.000-05:00,8.42,8.42,8.3957,8.42,510
1703256120,2023-12-22T09:42:00.000-05:00,8.44,8.44,8.44,8.44,651
1703256240,2023-12-22T09:44:00.000-05:00,8.4399,8.4399,8.435,8.435,575
1703256300,2023-12-22T09:45:00.000-05:00,8.435,8.435,8.435,8.435,137
1703256360,2023-12-22T09:46:00.000-05:00,8.44,8.44,8.44,8.44,224
1703256420,2023-12-22T09:47:00.000-05:00,8.435,8.435,8.435,8.435,219
1703256540,2023-12-22T09:49:00.000-05:00,8.45,8.45,8.45,8.45,133
1703256600,2023-12-22T09:50:00.000-05:00,8.4497,8.4497,8.4497,8.4497,206
1703256660,2023-12-22T09:51:00.000-05:00,8.45,8.46,8.43,8.46,4306
1703256720,2023-12-22T09:52:00.000-05:00,8.45,8.4686,8.45,8.4686,1310
1703256780,2023-12-22T09:53:00.000-05:00,8.47,8.47,8.455,8.455,830
1703256840,2023-12-22T09:54:00.000-05:00,8.455,8.455,8.455,8.455,641
1703256960,2023-12-22T09:56:00.000-05:00,8.445,8.445,8.44,8.44,489
1703257020,2023-12-22T09:57:00.000-05:00,8.43,8.44,8.43,8.44,768
1703257080,2023-12-22T09:58:00.000-05:00,8.46,8.46,8.46,8.46,367
1703257200,2023-12-22T10:00:00.000-05:00,8.4499,8.4499,8.415,8.415,1000
1703257260,2023-12-22T10:01:00.000-05:00,8.3989,8.3989,8.3989,8.3989,100
1703257320,2023-12-22T10:02:00.000-05:00,8.39,8.4,8.39,8.4,274
1703257380,2023-12-22T10:03:00.000-05:00,8.41,8.44,8.41,8.44,620
1703257440,2023-12-22T10:04:00.000-05:00,8.42,8.42,8.42,8.42,270
1703257500,2023-12-22T10:05:00.000-05:00,8.425,8.425,8.4,8.4,2966
1703257560,2023-12-22T10:06:00.000-05:00,8.4,8.45,8.4,8.45,3706
1703257620,2023-12-22T10:07:00.000-05:00,8.435,8.435,8.435,8.435,214
1703257680,2023-12-22T10:08:00.000-05:00,8.43,8.445,8.43,8.445,681
1703257740,2023-12-22T10:09:00.000-05:00,8.43,8.43,8.42,8.42,477
1703257920,2023-12-22T10:12:00.000-05:00,8.42,8.42,8.4101,8.4167,460
1703257980,2023-12-22T10:13:00.000-05:00,8.415,8.415,8.415,8.415,118
1703258160,2023-12-22T10:16:00.000-05:00,8.415,8.44,8.415,8.44,1178
1703258280,2023-12-22T10:18:00.000-05:00,8.43,8.43,8.39,8.4,8429
1703258340,2023-12-22T10:19:00.000-05:00,8.4147,8.415,8.4147,8.415,2199
1703258400,2023-12-22T10:20:00.000-05:00,8.4,8.4,8.4,8.4,1166
1703258460,2023-12-22T10:21:00.000-05:00,8.39,8.39,8.39,8.39,266
1703258580,2023-12-22T10:23:00.000-05:00,8.38,8.38,8.36,8.36,596
1703258640,2023-12-22T10:24:00.000-05:00,8.355,8.355,8.34,8.34,1046
1703258760,2023-12-22T10:26:00.000-05:00,8.32,8.32,8.315,8.32,615
1703258820,2023-12-22T10:27:00.000-05:00,8.3299,8.3299,8.32,8.32,208
1703258940,2023-12-22T10:29:00.000-05:00,8.3228,8.3228,8.3228,8.3228,304
1703259000,2023-12-22T10:30:00.000-05:00,8.32,8.32,8.315,8.315,998
1703259180,2023-12-22T10:33:00.000-05:00,8.29,8.295,8.29,8.29,612
1703259300,2023-12-22T10:35:00.000-05:00,8.28,8.28,8.28,8.28,429
1703259480,2023-12-22T10:38:00.000-05:00,8.288,8.288,8.288,8.288,200
1703259540,2023-12-22T10:39:00.000-05:00,8.29,8.29,8.29,8.29,100
1703259600,2023-12-22T10:40:00.000-05:00,8.27,8.27,8.27,8.27,445
