timestamp,datetime,open,high,low,close,volume
1703242800,2023-12-22T06:00:00.000-05:00,5.9,5.9,5.9,5.9,382
1703255400,2023-12-22T09:30:00.000-05:00,5.76,5.76,5.76,5.76,5371
1703255460,2023-12-22T09:31:00.000-05:00,5.7768,5.7768,5.725,5.725,6517
1703255520,2023-12-22T09:32:00.000-05:00,5.73,5.73,5.73,5.73,118
1703255580,2023-12-22T09:33:00.000-05:00,5.7586,5.78,5.7586,5.78,1000
1703255640,2023-12-22T09:34:00.000-05:00,5.785,5.785,5.78,5.78,201
1703255700,2023-12-22T09:35:00.000-05:00,5.78,5.78,5.78,5.78,100
1703255760,2023-12-22T09:36:00.000-05:00,5.8,5.8,5.8,5.8,680
1703255820,2023-12-22T09:37:00.000-05:00,5.81,5.81,5.81,5.81,795
1703255880,2023-12-22T09:38:00.000-05:00,5.81,5.81,5.81,5.81,340
1703255940,2023-12-22T09:39:00.000-05:00,5.83,5.83,5.83,5.83,1231
1703256000,2023-12-22T09:40:00.000-05:00,5.84,5.84,5.82,5.83,2041
1703256060,2023-12-22T09:41:00.000-05:00,5.82,5.82,5.82,5.82,204
1703256120,2023-12-22T09:42:00.000-05:00,5.85,5.86,5.84,5.84,2110
1703256180,2023-12-22T09:43:00.000-05:00,5.84,5.84,5.84,5.84,175
1703256300,2023-12-22T09:45:00.000-05:00,5.85,5.85,5.85,5.85,739
1703256480,2023-12-22T09:48:00.000-05:00,5.87,5.87,5.87,5.87,430
1703256660,2023-12-22T09:51:00.000-05:00,5.88,5.88,5.88,5.88,207
1703256780,2023-12-22T09:53:00.000-05:00,5.88,5.88,5.875,5.88,2104
1703256840,2023-12-22T09:54:00.000-05:00,5.88,5.88,5.88,5.88,227
1703256900,2023-12-22T09:55:00.000-05:00,5.88,5.89,5.8797,5.89,2451
1703256960,2023-12-22T09:56:00.000-05:00,5.89,5.89,5.89,5.89,139
1703257020,2023-12-22T09:57:00.000-05:00,5.885,5.89,5.885,5.885,715
1703257080,2023-12-22T09:58:00.000-05:00,5.885,5.89,5.885,5.89,261
1703257140,2023-12-22T09:59:00.000-05:00,5.88,5.885,5.88,5.885,2481
1703257200,2023-12-22T10:00:00.000-05:00,5.885,5.89,5.885,5.89,596
1703257260,2023-12-22T10:01:00.000-05:00,5.89,5.895,5.89,5.89,640
1703257320,2023-12-22T10:02:00.000-05:00,5.9,5.92,5.9,5.9,5561
1703257380,2023-12-22T10:03:00.000-05:00,5.89,5.89,5.89,5.89,1299
1703257440,2023-12-22T10:04:00.000-05:00,5.895,5.895,5.895,5.895,235
1703257500,2023-12-22T10:05:00.000-05:00,5.895,5.895,5.895,5.895,170
1703257560,2023-12-22T10:06:00.000-05:00,5.895,5.895,5.89,5.89,3382
1703257680,2023-12-22T10:08:00.000-05:00,5.905,5.905,5.9,5.9,3912
1703257740,2023-12-22T10:09:00.000-05:00,5.91,5.91,5.905,5.905,624
