timestamp,datetime,open,high,low,close,volume
1703255400,2023-12-22T09:30:00.000-05:00,6.49,6.49,6.44,6.44,5754
1703255460,2023-12-22T09:31:00.000-05:00,6.44,6.44,6.425,6.425,932
1703255520,2023-12-22T09:32:00.000-05:00,6.43,6.49,6.43,6.48,1937
1703255580,2023-12-22T09:33:00.000-05:00,6.4701,6.5,6.4701,6.5,1852
1703255700,2023-12-22T09:35:00.000-05:00,6.5113,6.52,6.5113,6.52,622
1703255760,2023-12-22T09:36:00.000-05:00,6.515,6.52,6.515,6.52,624
1703255820,2023-12-22T09:37:00.000-05:00,6.52,6.52,6.515,6.515,1601
1703255880,2023-12-22T09:38:00.000-05:00,6.52,6.54,6.52,6.54,5808
1703255940,2023-12-22T09:39:00.000-05:00,6.5479,6.5479,6.54,6.54,2296
1703256000,2023-12-22T09:40:00.000-05:00,6.53,6.53,6.5,6.5,2128
1703256060,2023-12-22T09:41:00.000-05:00,6.5,6.505,6.5,6.505,492
1703256120,2023-12-22T09:42:00.000-05:00,6.51,6.52,6.51,6.52,1940
1703256180,2023-12-22T09:43:00.000-05:00,6.52,6.525,6.48,6.49,29297
1703256240,2023-12-22T09:44:00.000-05:00,6.49,6.49,6.49,6.49,674
1703256300,2023-12-22T09:45:00.000-05:00,6.47,6.47,6.47,6.47,382
1703256360,2023-12-22T09:46:00.000-05:00,6.47,6.47,6.47,6.47,356
1703256420,2023-12-22T09:47:00.000-05:00,6.455,6.455,6.455,6.455,136
1703256480,2023-12-22T09:48:00.000-05:00,6.46,6.46,6.46,6.46,654
1703256540,2023-12-22T09:49:00.000-05:00,6.464,6.464,6.46,6.46,546
1703256720,2023-12-22T09:52:00.000-05:00,6.455,6.46,6.455,6.46,1164
1703256780,2023-12-22T09:53:00.000-05:00,6.47,6.47,6.47,6.47,2062
1703256840,2023-12-22T09:54:00.000-05:00,6.46,6.46,6.46,6.46,530
1703256900,2023-12-22T09:55:00.000-05:00,6.45,6.45,6.45,6.45,765
1703257020,2023-12-22T09:57:00.000-05:00,6.455,6.455,6.455,6.455,200
1703257140,2023-12-22T09:59:00.000-05:00,6.4518,6.4518,6.4518,6.4518,100
1703257200,2023-12-22T10:00:00.000-05:00,6.46,6.46,6.4525,6.4525,422
1703257260,2023-12-22T10:01:00.000-05:00,6.45,6.45,6.45,6.45,300
1703257320,2023-12-22T10:02:00.000-05:00,6.445,6.45,6.445,6.45,439
1703257380,2023-12-22T10:03:00.000-05:00,6.4422,6.4422,6.43,6.43,6264
1703257440,2023-12-22T10:04:00.000-05:00,6.44,6.44,6.44,6.44,736
1703257500,2023-12-22T10:05:00.000-05:00,6.44,6.44,6.43,6.43,1121
1703257560,2023-12-22T10:06:00.000-05:00,6.43,6.43,6.41,6.41,4493
1703257620,2023-12-22T10:07:00.000-05:00,6.41,6.41,6.41,6.41,1312
1703257680,2023-12-22T10:08:00.000-05:00,6.42,6.42,6.42,6.42,815
1703257740,2023-12-22T10:09:00.000-05:00,6.42,6.44,6.42,6.435,7363
1703257800,2023-12-22T10:10:00.000-05:00,6.43,6.43,6.425,6.425,1021
1703257860,2023-12-22T10:11:00.000-05:00,6.42,6.425,6.42,6.42,1712
1703257920,2023-12-22T10:12:00.000-05:00,6.42,6.42,6.42,6.42,640
1703257980,2023-12-22T10:13:00.000-05:00,6.42,6.425,6.42,6.425,1547
1703258040,2023-12-22T10:14:00.000-05:00,6.4131,6.4131,6.4131,6.4131,501
1703258100,2023-12-22T10:15:00.000-05:00,6.41,6.41,6.41,6.41,974
1703258160,2023-12-22T10:16:00.000-05:00,6.4,6.4,6.3901,6.4,6887
1703258220,2023-12-22T10:17:00.000-05:00,6.39,6.39,6.37,6.38,4124
1703258340,2023-12-22T10:19:00.000-05:00,6.385,6.39,6.385,6.3889,1676
1703258400,2023-12-22T10:20:00.000-05:00,6.38,6.38,6.365,6.38,4825
1703258460,2023-12-22T10:21:00.000-05:00,6.375,6.375,6.375,6.375,467
1703258520,2023-12-22T10:22:00.000-05:00,6.38,6.38,6.3797,6.3797,515
1703258580,2023-12-22T10:23:00.000-05:00,6.375,6.3788,6.365,6.365,1610
1703258640,2023-12-22T10:24:00.000-05:00,6.36,6.36,6.36,6.36,498
1703258700,2023-12-22T10:25:00.000-05:00,6.36,6.36,6.3556,6.3556,1078
1703258760,2023-12-22T10:26:00.000-05:00,6.355,6.36,6.355,6.36,2383
1703258820,2023-12-22T10:27:00.000-05:00,6.36,6.36,6.3594,6.36,878
1703258880,2023-12-22T10:28:00.000-05:00,6.36,6.36,6.36,6.36,382
1703259000,2023-12-22T10:30:00.000-05:00,6.36,6.38,6.36,6.375,9160
