timestamp,datetime,open,high,low,close,volume
1703242800,2023-12-22T06:00:00.000-05:00,8.55,8.55,8.55,8.55,1751
1703249580,2023-12-22T07:53:00.000-05:00,8.57,8.57,8.57,8.57,2002
1703250660,2023-12-22T08:11:00.000-05:00,8.6,8.6,8.6,8.6,912
1703251980,2023-12-22T08:33:00.000-05:00,8.61,8.61,8.61,8.61,105
1703252040,2023-12-22T08:34:00.000-05:00,8.61,8.61,8.61,8.61,100
1703252460,2023-12-22T08:41:00.000-05:00,8.6,8.6,8.6,8.6,1250
1703252520,2023-12-22T08:42:00.000-05:00,8.61,8.61,8.61,8.61,100
1703252820,2023-12-22T08:47:00.000-05:00,8.61,8.61,8.61,8.61,4505
1703253000,2023-12-22T08:50:00.000-05:00,8.64,8.64,8.64,8.64,500
1703253120,2023-12-22T08:52:00.000-05:00,8.64,8.64,8.64,8.64,150
1703253600,2023-12-22T09:00:00.000-05:00,8.635,8.635,8.63,8.63,306
1703253660,2023-12-22T09:01:00.000-05:00,8.64,8.64,8.64,8.64,1794
1703254020,2023-12-22T09:07:00.000-05:00,8.62,8.62,8.61,8.61,274
1703254320,2023-12-22T09:12:00.000-05:00,8.63,8.63,8.63,8.63,110
1703254440,2023-12-22T09:14:00.000-05:00,8.63,8.63,8.63,8.63,170
1703255100,2023-12-22T09:25:00.000-05:00,8.57,8.57,8.56,8.56,305
1703255340,2023-12-22T09:29:00.000-05:00,8.56,8.56,8.5,8.5,832
1703255400,2023-12-22T09:30:00.000-05:00,8.51,8.56,8.41,8.445,59097
1703255460,2023-12-22T09:31:00.000-05:00,8.45,8.46,8.37,8.37,12181
1703255520,2023-12-22T09:32:00.000-05:00,8.37,8.46,8.37,8.46,21251
1703255580,2023-12-22T09:33:00.000-05:00,8.47,8.51,8.47,8.51,2667
1703255640,2023-12-22T09:34:00.000-05:00,8.52,8.545,8.52,8.54,8508
1703255700,2023-12-22T09:35:00.000-05:00,8.53,8.53,8.5006,8.53,4604
1703255760,2023-12-22T09:36:00.000-05:00,8.53,8.55,8.53,8.54,1415
1703255820,2023-12-22T09:37:00.000-05:00,8.5497,8.5497,8.52,8.5266,3819
1703255880,2023-12-22T09:38:00.000-05:00,8.52,8.54,8.52,8.54,2149
1703255940,2023-12-22T09:39:00.000-05:00,8.54,8.57,8.54,8.56,13959
1703256000,2023-12-22T09:40:00.000-05:00,8.55,8.55,8.535,8.54,2892
1703256060,2023-12-22T09:41:00.000-05:00,8.55,8.58,8.545,8.575,2889
1703256120,2023-12-22T09:42:00.000-05:00,8.58,8.59,8.57,8.57,2516
1703256180,2023-12-22T09:43:00.000-05:00,8.575,8.59,8.575,8.59,4710
1703256240,2023-12-22T09:44:00.000-05:00,8.59,8.6,8.59,8.6,8957
1703256300,2023-12-22T09:45:00.000-05:00,8.6,8.6,8.59,8.59,5835
1703256360,2023-12-22T09:46:00.000-05:00,8.585,8.585,8.58,8.58,3076
1703256420,2023-12-22T09:47:00.000-05:00,8.5894,8.6,8.5894,8.6,4857
1703256480,2023-12-22T09:48:00.000-05:00,8.6,8.61,8.6,8.61,6155
1703256540,2023-12-22T09:49:00.000-05:00,8.605,8.605,8.6,8.6,1488
1703256600,2023-12-22T09:50:00.000-05:00,8.6,8.605,8.6,8.605,1545
1703256660,2023-12-22T09:51:00.000-05:00,8.61,8.6161,8.605,8.6161,2626
1703256720,2023-12-22T09:52:00.000-05:00,8.615,8.615,8.615,8.615,145
1703256780,2023-12-22T09:53:00.000-05:00,8.615,8.64,8.615,8.6287,16325
1703256840,2023-12-22T09:54:00.000-05:00,8.63,8.64,8.63,8.63,4367
1703256900,2023-12-22T09:55:00.000-05:00,8.63,8.645,8.6299,8.64,4782
1703256960,2023-12-22T09:56:00.000-05:00,8.64,8.64,8.64,8.64,2724
1703257020,2023-12-22T09:57:00.000-05:00,8.635,8.65,8.635,8.65,1818
1703257080,2023-12-22T09:58:00.000-05:00,8.64,8.6478,8.64,8.6478,2208
1703257140,2023-12-22T09:59:00.000-05:00,8.6401,8.6492,8.64,8.64,1254
1703257200,2023-12-22T10:00:00.000-05:00,8.645,8.65,8.645,8.645,3916
1703257260,2023-12-22T10:01:00.000-05:00,8.64,8.64,8.635,8.64,7661
1703257320,2023-12-22T10:02:00.000-05:00,8.64,8.64,8.625,8.625,2383
1703257380,2023-12-22T10:03:00.000-05:00,8.62,8.635,8.62,8.6318,6004
1703257440,2023-12-22T10:04:00.000-05:00,8.635,8.635,8.63,8.635,2246
1703257500,2023-12-22T10:05:00.000-05:00,8.635,8.64,8.635,8.64,432
1703257560,2023-12-22T10:06:00.000-05:00,8.635,8.635,8.62,8.62,2207
1703257620,2023-12-22T10:07:00.000-05:00,8.63,8.632,8.63,8.63,1304
1703257680,2023-12-22T10:08:00.000-05:00,8.635,8.635,8.6227,8.63,2187
1703257740,2023-12-22T10:09:00.000-05:00,8.64,8.64,8.64,8.64,713
1703257800,2023-12-22T10:10:00.000-05:00,8.645,8.645,8.641,8.641,5486
1703257860,2023-12-22T10:11:00.000-05:00,8.645,8.6599,8.64,8.64,7720
1703257920,2023-12-22T10:12:00.000-05:00,8.6445,8.65,8.6401,8.65,3264
1703257980,2023-12-22T10:13:00.000-05:00,8.66,8.67,8.659,8.66,5466
1703258040,2023-12-22T10:14:00.000-05:00,8.66,8.69,8.66,8.68,23081
1703258100,2023-12-22T10:15:00.000-05:00,8.675,8.675,8.66,8.66,3733
1703258160,2023-12-22T10:16:00.000-05:00,8.66,8.68,8.66,8.68,2844
1703258220,2023-12-22T10:17:00.000-05:00,8.67,8.67,8.67,8.67,421
1703258280,2023-12-22T10:18:00.000-05:00,8.68,8.68,8.67,8.67,5720
1703258340,2023-12-22T10:19:00.000-05:00,8.675,8.675,8.665,8.665,5778
1703258400,2023-12-22T10:20:00.000-05:00,8.67,8.67,8.65,8.65,19804
1703258460,2023-12-22T10:21:00.000-05:00,8.65,8.67,8.65,8.67,1933
1703258520,2023-12-22T10:22:00.000-05:00,8.668,8.668,8.66,8.66,271
1703258580,2023-12-22T10:23:00.000-05:00,8.665,8.665,8.655,8.66,5254
1703258640,2023-12-22T10:24:00.000-05:00,8.66,8.665,8.66,8.665,2451
1703258700,2023-12-22T10:25:00.000-05:00,8.66,8.66,8.6425,8.645,3857
1703258760,2023-12-22T10:26:00.000-05:00,8.65,8.6698,8.65,8.6698,2954
1703258820,2023-12-22T10:27:00.000-05:00,8.6692,8.675,8.6692,8.675,2521
1703258880,2023-12-22T10:28:00.000-05:00,8.67,8.67,8.66,8.66,2013
1703258940,2023-12-22T10:29:00.000-05:00,8.665,8.665,8.65,8.655,19819
1703259000,2023-12-22T10:30:00.000-05:00,8.655,8.6595,8.645,8.645,7135
1703259060,2023-12-22T10:31:00.000-05:00,8.645,8.645,8.63,8.63,6499
1703259120,2023-12-22T10:32:00.000-05:00,8.63,8.635,8.61,8.61,11451
1703259180,2023-12-22T10:33:00.000-05:00,8.61,8.625,8.605,8.62,7403
1703259240,2023-12-22T10:34:00.000-05:00,8.625,8.6359,8.625,8.6359,2479
1703259300,2023-12-22T10:35:00.000-05:00,8.635,8.635,8.63,8.63,4029
1703259360,2023-12-22T10:36:00.000-05:00,8.63,8.635,8.62,8.625,5902
1703259420,2023-12-22T10:37:00.000-05:00,8.625,8.66,8.62,8.645,14852
1703259480,2023-12-22T10:38:00.000-05:00,8.645,8.645,8.63,8.63,12588
1703259540,2023-12-22T10:39:00.000-05:00,8.635,8.65,8.63,8.65,14969
1703259600,2023-12-22T10:40:00.000-05:00,8.655,8.655,8.64,8.6417,10162
1703259660,2023-12-22T10:41:00.000-05:00,8.64,8.645,8.64,8.645,1545
1703259720,2023-12-22T10:42:00.000-05:00,8.65,8.65,8.64,8.64,19278
