timestamp,datetime,open,high,low,close,volume
1703255400,2023-12-22T09:30:00.000-05:00,18.01,18.01,18.01,18.01,2537
1703255460,2023-12-22T09:31:00.000-05:00,17.91,17.95,17.91,17.95,1601
1703255520,2023-12-22T09:32:00.000-05:00,17.98,17.99,17.97,17.97,1163
1703255580,2023-12-22T09:33:00.000-05:00,17.975,18.01,17.975,18.01,1313
1703255640,2023-12-22T09:34:00.000-05:00,18.01,18.01,18.01,18.01,1019
1703255700,2023-12-22T09:35:00.000-05:00,17.99,18.01,17.98,17.99,2932
1703255760,2023-12-22T09:36:00.000-05:00,18.0,18.02,18.0,18.02,1017
1703255820,2023-12-22T09:37:00.000-05:00,18.02,18.02,18.0,18.0,899
1703255880,2023-12-22T09:38:00.000-05:00,18.02,18.07,18.02,18.07,2145
1703255940,2023-12-22T09:39:00.000-05:00,18.08,18.09,18.08,18.09,1712
1703256000,2023-12-22T09:40:00.000-05:00,18.09,18.09,18.07,18.08,768
1703256060,2023-12-22T09:41:00.000-05:00,18.1,18.115,18.09,18.11,1582
1703256120,2023-12-22T09:42:00.000-05:00,18.12,18.14,18.11,18.11,1502
1703256180,2023-12-22T09:43:00.000-05:00,18.1,18.13,18.1,18.13,1202
1703256240,2023-12-22T09:44:00.000-05:00,18.13,18.14,18.11,18.14,3467
1703256300,2023-12-22T09:45:00.000-05:00,18.14,18.14,18.1,18.1,1589
1703256420,2023-12-22T09:47:00.000-05:00,18.1,18.1,18.09,18.1,627
1703256480,2023-12-22T09:48:00.000-05:00,18.11,18.11,18.11,18.11,212
1703256540,2023-12-22T09:49:00.000-05:00,18.08,18.08,18.08,18.08,284
1703256600,2023-12-22T09:50:00.000-05:00,18.06,18.07,18.06,18.07,786
1703256660,2023-12-22T09:51:00.000-05:00,18.1,18.1,18.1,18.1,234
1703256720,2023-12-22T09:52:00.000-05:00,18.13,18.13,18.13,18.13,237
1703256780,2023-12-22T09:53:00.000-05:00,18.15,18.16,18.15,18.16,490
1703256840,2023-12-22T09:54:00.000-05:00,18.16,18.16,18.14,18.14,768
1703256900,2023-12-22T09:55:00.000-05:00,18.14,18.16,18.14,18.16,789
1703257020,2023-12-22T09:57:00.000-05:00,18.13,18.13,18.13,18.13,608
1703257080,2023-12-22T09:58:00.000-05:00,18.12,18.125,18.12,18.12,1133
1703257140,2023-12-22T09:59:00.000-05:00,18.12,18.12,18.12,18.12,108
1703257200,2023-12-22T10:00:00.000-05:00,18.11,18.11,18.11,18.11,301
1703257320,2023-12-22T10:02:00.000-05:00,18.08,18.12,18.08,18.12,1226
1703257380,2023-12-22T10:03:00.000-05:00,18.11,18.12,18.1,18.12,1453
