timestamp,datetime,open,high,low,close,volume
1703223360,2023-12-22T00:36:00.000-05:00,3.84,3.84,3.84,3.84,352
1703225700,2023-12-22T01:15:00.000-05:00,3.8,3.81,3.8,3.81,597
1703234520,2023-12-22T03:42:00.000-05:00,3.84,3.84,3.84,3.84,100
1703237040,2023-12-22T04:24:00.000-05:00,3.8386,3.8386,3.8386,3.8386,333
1703237100,2023-12-22T04:25:00.000-05:00,3.83,3.83,3.83,3.83,202
1703237400,2023-12-22T04:30:00.000-05:00,3.84,3.84,3.84,3.84,1042
1703238300,2023-12-22T04:45:00.000-05:00,3.8301,3.8301,3.8301,3.8301,140
1703240400,2023-12-22T05:20:00.000-05:00,3.83,3.84,3.83,3.84,565
1703241960,2023-12-22T05:46:00.000-05:00,3.8024,3.8024,3.8024,3.8024,100
1703242680,2023-12-22T05:58:00.000-05:00,3.84,3.84,3.84,3.84,495
1703244300,2023-12-22T06:25:00.000-05:00,3.81,3.81,3.8,3.8,490
1703247780,2023-12-22T07:23:00.000-05:00,3.83,3.84,3.83,3.84,1001
1703248140,2023-12-22T07:29:00.000-05:00,3.84,3.84,3.84,3.84,198
1703248200,2023-12-22T07:30:00.000-05:00,3.83,3.84,3.83,3.84,1626
1703251620,2023-12-22T08:27:00.000-05:00,3.82,3.83,3.82,3.83,957
1703255400,2023-12-22T09:30:00.000-05:00,3.89,3.93,3.89,3.9,17391
1703255580,2023-12-22T09:33:00.000-05:00,3.97,4.05,3.97,4.04,7508
1703255640,2023-12-22T09:34:00.000-05:00,4.03,4.046,4.03,4.046,1565
1703255700,2023-12-22T09:35:00.000-05:00,4.04,4.04,4.04,4.04,188
1703255760,2023-12-22T09:36:00.000-05:00,4.06,4.08,4.06,4.08,987
1703255820,2023-12-22T09:37:00.000-05:00,4.1,4.11,4.1,4.11,1312
1703255880,2023-12-22T09:38:00.000-05:00,4.1,4.11,4.1,4.11,834
1703255940,2023-12-22T09:39:00.000-05:00,4.11,4.16,4.11,4.16,5848
1703256000,2023-12-22T09:40:00.000-05:00,4.14,4.16,4.13,4.15,8501
1703256060,2023-12-22T09:41:00.000-05:00,4.15,4.185,4.15,4.16,4062
1703256120,2023-12-22T09:42:00.000-05:00,4.18,4.22,4.18,4.2,6925
1703256180,2023-12-22T09:43:00.000-05:00,4.2,4.26,4.2,4.26,7393
1703256240,2023-12-22T09:44:00.000-05:00,4.26,4.31,4.25,4.289,26716
1703256300,2023-12-22T09:45:00.000-05:00,4.29,4.32,4.2888,4.31,3606
1703256360,2023-12-22T09:46:00.000-05:00,4.3,4.33,4.26,4.27,15408
1703256420,2023-12-22T09:47:00.000-05:00,4.2812,4.3099,4.2812,4.3099,3657
1703256480,2023-12-22T09:48:00.000-05:00,4.3,4.3043,4.29,4.2911,6505
1703256540,2023-12-22T09:49:00.000-05:00,4.3001,4.3001,4.26,4.26,8087
1703256600,2023-12-22T09:50:00.000-05:00,4.25,4.25,4.2485,4.25,3326
1703256660,2023-12-22T09:51:00.000-05:00,4.25,4.26,4.25,4.2598,2525
1703256720,2023-12-22T09:52:00.000-05:00,4.25,4.2712,4.2495,4.2495,5280
1703256780,2023-12-22T09:53:00.000-05:00,4.25,4.285,4.25,4.27,8562
