timestamp,datetime,open,high,low,close,volume
1703255400,2023-12-22T09:30:00.000-05:00,67.23,67.23,66.86,66.86,2479
1703255520,2023-12-22T09:32:00.000-05:00,66.95,66.95,66.95,66.95,202
1703255580,2023-12-22T09:33:00.000-05:00,67.25,67.25,67.25,67.25,402
1703255640,2023-12-22T09:34:00.000-05:00,67.31,67.31,67.31,67.31,201
1703255700,2023-12-22T09:35:00.000-05:00,67.275,67.275,67.27,67.27,384
1703255760,2023-12-22T09:36:00.000-05:00,67.39,67.4,67.39,67.4,820
1703255820,2023-12-22T09:37:00.000-05:00,67.47,67.47,67.47,67.47,102
1703255880,2023-12-22T09:38:00.000-05:00,67.49,67.54,67.49,67.54,302
1703255940,2023-12-22T09:39:00.000-05:00,67.52,67.625,67.52,67.625,1085
1703256000,2023-12-22T09:40:00.000-05:00,67.625,67.625,67.49,67.49,2226
1703256120,2023-12-22T09:42:00.000-05:00,67.735,67.735,67.62,67.62,1170
1703256180,2023-12-22T09:43:00.000-05:00,67.67,67.67,67.67,67.67,1062
1703256540,2023-12-22T09:49:00.000-05:00,67.63,67.77,67.63,67.72,1613
1703256600,2023-12-22T09:50:00.000-05:00,67.66,67.665,67.66,67.665,651
1703256660,2023-12-22T09:51:00.000-05:00,67.665,67.665,67.665,67.665,321
1703256720,2023-12-22T09:52:00.000-05:00,67.65,67.65,67.635,67.635,357
1703256840,2023-12-22T09:54:00.000-05:00,67.62,67.62,67.58,67.58,414
1703256900,2023-12-22T09:55:00.000-05:00,67.575,67.575,67.575,67.575,118
1703257140,2023-12-22T09:59:00.000-05:00,67.48,67.58,67.47,67.58,559
1703257200,2023-12-22T10:00:00.000-05:00,67.58,67.59,67.5,67.59,1067
1703257260,2023-12-22T10:01:00.000-05:00,67.54,67.54,67.54,67.54,180
1703257560,2023-12-22T10:06:00.000-05:00,67.49,67.49,67.49,67.49,106
1703257680,2023-12-22T10:08:00.000-05:00,67.49,67.49,67.49,67.49,753
1703257800,2023-12-22T10:10:00.000-05:00,67.49,67.49,67.49,67.49,173
1703257860,2023-12-22T10:11:00.000-05:00,67.49,67.49,67.47,67.47,208
1703258100,2023-12-22T10:15:00.000-05:00,67.435,67.48,67.435,67.45,887
1703258160,2023-12-22T10:16:00.000-05:00,67.48,67.48,67.45,67.46,1417
1703258220,2023-12-22T10:17:00.000-05:00,67.46,67.46,67.36,67.36,3129
1703258280,2023-12-22T10:18:00.000-05:00,67.35,67.35,67.21,67.21,1297
1703258340,2023-12-22T10:19:00.000-05:00,67.28,67.295,67.22,67.295,3440
1703258400,2023-12-22T10:20:00.000-05:00,67.32,67.44,67.32,67.44,3945
1703258460,2023-12-22T10:21:00.000-05:00,67.51,67.53,67.48,67.53,1728
1703258520,2023-12-22T10:22:00.000-05:00,67.55,67.615,67.55,67.615,856
1703258580,2023-12-22T10:23:00.000-05:00,67.585,67.59,67.585,67.59,383
1703258700,2023-12-22T10:25:00.000-05:00,67.68,67.68,67.66,67.66,614
1703258760,2023-12-22T10:26:00.000-05:00,67.655,67.655,67.655,67.655,654
1703258820,2023-12-22T10:27:00.000-05:00,67.74,67.76,67.74,67.76,721
1703258880,2023-12-22T10:28:00.000-05:00,67.79,67.81,67.79,67.81,665
1703259000,2023-12-22T10:30:00.000-05:00,67.81,67.83,67.76,67.795,3148
1703259060,2023-12-22T10:31:00.000-05:00,67.795,67.795,67.76,67.79,1085
1703259180,2023-12-22T10:33:00.000-05:00,67.83,67.83,67.83,67.83,1461
1703259240,2023-12-22T10:34:00.000-05:00,67.835,67.835,67.77,67.8,3169
1703259300,2023-12-22T10:35:00.000-05:00,67.8,67.855,67.8,67.85,1179
1703259360,2023-12-22T10:36:00.000-05:00,67.85,67.87,67.75,67.75,3848
1703259420,2023-12-22T10:37:00.000-05:00,67.78,67.78,67.75,67.76,1307
1703259480,2023-12-22T10:38:00.000-05:00,67.76,67.76,67.63,67.68,2502
1703259540,2023-12-22T10:39:00.000-05:00,67.65,67.65,67.62,67.62,432
1703259660,2023-12-22T10:41:00.000-05:00,67.62,67.62,67.6,67.6,545
1703259780,2023-12-22T10:43:00.000-05:00,67.6,67.6,67.6,67.6,689
1703259840,2023-12-22T10:44:00.000-05:00,67.595,67.595,67.595,67.595,221
1703259900,2023-12-22T10:45:00.000-05:00,67.66,67.71,67.66,67.7,1427
1703259960,2023-12-22T10:46:00.000-05:00,67.675,67.715,67.675,67.675,1235
1703260020,2023-12-22T10:47:00.000-05:00,67.73,67.76,67.73,67.76,1441
1703260140,2023-12-22T10:49:00.000-05:00,67.755,67.8,67.735,67.75,6966
1703260200,2023-12-22T10:50:00.000-05:00,67.735,67.74,67.735,67.74,375
1703260260,2023-12-22T10:51:00.000-05:00,67.68,67.7,67.67,67.68,980
1703260320,2023-12-22T10:52:00.000-05:00,67.68,67.68,67.635,67.635,4512
1703260380,2023-12-22T10:53:00.000-05:00,67.68,67.71,67.68,67.71,1438
1703260440,2023-12-22T10:54:00.000-05:00,67.69,67.7,67.62,67.62,2633
1703260500,2023-12-22T10:55:00.000-05:00,67.67,67.67,67.65,67.65,266
1703260560,2023-12-22T10:56:00.000-05:00,67.6799,67.6799,67.59,67.59,2868
1703260620,2023-12-22T10:57:00.000-05:00,67.59,67.59,67.515,67.515,1616
1703260680,2023-12-22T10:58:00.000-05:00,67.515,67.515,67.44,67.495,765
1703260740,2023-12-22T10:59:00.000-05:00,67.45,67.45,67.44,67.44,821
1703260800,2023-12-22T11:00:00.000-05:00,67.37,67.37,67.135,67.22,1686
1703260860,2023-12-22T11:01:00.000-05:00,67.235,67.33,67.235,67.305,2236
1703260920,2023-12-22T11:02:00.000-05:00,67.31,67.31,67.31,67.31,138
1703260980,2023-12-22T11:03:00.000-05:00,67.33,67.39,67.33,67.39,1567
1703261040,2023-12-22T11:04:00.000-05:00,67.35,67.35,67.35,67.35,219
1703261100,2023-12-22T11:05:00.000-05:00,67.29,67.29,67.29,67.29,181
1703261160,2023-12-22T11:06:00.000-05:00,67.28,67.28,67.28,67.28,133
1703261460,2023-12-22T11:11:00.000-05:00,67.26,67.34,67.26,67.28,1066
1703261520,2023-12-22T11:12:00.000-05:00,67.295,67.295,67.295,67.295,104
1703261580,2023-12-22T11:13:00.000-05:00,67.295,67.375,67.295,67.375,536
1703261640,2023-12-22T11:14:00.000-05:00,67.42,67.44,67.42,67.44,1251
1703261700,2023-12-22T11:15:00.000-05:00,67.49,67.53,67.485,67.53,1169
1703261760,2023-12-22T11:16:00.000-05:00,67.54,67.54,67.54,67.54,551
1703261820,2023-12-22T11:17:00.000-05:00,67.52,67.53,67.52,67.53,452
1703261940,2023-12-22T11:19:00.000-05:00,67.55,67.55,67.55,67.55,604
1703262060,2023-12-22T11:21:00.000-05:00,67.59,67.62,67.59,67.62,1072
1703262120,2023-12-22T11:22:00.000-05:00,67.605,67.605,67.605,67.605,185
1703262180,2023-12-22T11:23:00.000-05:00,67.605,67.605,67.565,67.565,1196
1703262240,2023-12-22T11:24:00.000-05:00,67.565,67.565,67.565,67.565,366
1703262300,2023-12-22T11:25:00.000-05:00,67.52,67.52,67.5,67.5,409
1703262420,2023-12-22T11:27:00.000-05:00,67.54,67.57,67.54,67.57,1494
1703262480,2023-12-22T11:28:00.000-05:00,67.52,67.52,67.49,67.52,1695
1703262540,2023-12-22T11:29:00.000-05:00,67.52,67.56,67.49,67.56,696
1703262600,2023-12-22T11:30:00.000-05:00,67.54,67.54,67.54,67.54,568
1703262660,2023-12-22T11:31:00.000-05:00,67.52,67.52,67.52,67.52,171
1703262720,2023-12-22T11:32:00.000-05:00,67.52,67.52,67.52,67.52,126
1703262840,2023-12-22T11:34:00.000-05:00,67.52,67.52,67.52,67.52,472
1703262900,2023-12-22T11:35:00.000-05:00,67.52,67.52,67.435,67.435,1403
1703262960,2023-12-22T11:36:00.000-05:00,67.415,67.415,67.415,67.415,263
1703263020,2023-12-22T11:37:00.000-05:00,67.37,67.425,67.37,67.425,307
1703263080,2023-12-22T11:38:00.000-05:00,67.36,67.415,67.36,67.415,238
1703263140,2023-12-22T11:39:00.000-05:00,67.395,67.395,67.395,67.395,408
1703263200,2023-12-22T11:40:00.000-05:00,67.38,67.395,67.37,67.395,985
1703263260,2023-12-22T11:41:00.000-05:00,67.395,67.395,67.395,67.395,100
1703263320,2023-12-22T11:42:00.000-05:00,67.39,67.395,67.38,67.38,690
1703263380,2023-12-22T11:43:00.000-05:00,67.38,67.38,67.38,67.38,892
1703263440,2023-12-22T11:44:00.000-05:00,67.38,67.38,67.34,67.355,2257
1703263500,2023-12-22T11:45:00.000-05:00,67.355,67.365,67.33,67.345,2299
1703263560,2023-12-22T11:46:00.000-05:00,67.345,67.355,67.345,67.355,398
1703263620,2023-12-22T11:47:00.000-05:00,67.32,67.415,67.32,67.415,2686
1703263680,2023-12-22T11:48:00.000-05:00,67.42,67.42,67.38,67.38,644
1703263740,2023-12-22T11:49:00.000-05:00,67.32,67.34,67.32,67.34,405
1703263800,2023-12-22T11:50:00.000-05:00,67.34,67.34,67.34,67.34,541
1703263860,2023-12-22T11:51:00.000-05:00,67.3,67.375,67.3,67.375,954
1703263980,2023-12-22T11:53:00.000-05:00,67.31,67.31,67.31,67.31,212
1703264400,2023-12-22T12:00:00.000-05:00,67.3594,67.3594,67.3594,67.3594,331
1703264460,2023-12-22T12:01:00.000-05:00,67.35,67.35,67.35,67.35,109
1703264520,2023-12-22T12:02:00.000-05:00,67.35,67.35,67.35,67.35,138
1703264580,2023-12-22T12:03:00.000-05:00,67.36,67.39,67.36,67.39,888
1703264700,2023-12-22T12:05:00.000-05:00,67.385,67.385,67.385,67.385,100
1703264820,2023-12-22T12:07:00.000-05:00,67.4,67.4,67.35,67.35,936
1703264880,2023-12-22T12:08:00.000-05:00,67.34,67.34,67.34,67.34,146
1703265060,2023-12-22T12:11:00.000-05:00,67.29,67.29,67.29,67.29,323
1703265180,2023-12-22T12:13:00.000-05:00,67.32,67.32,67.32,67.32,202
1703265300,2023-12-22T12:15:00.000-05:00,67.27,67.3086,67.27,67.3086,872
1703265420,2023-12-22T12:17:00.000-05:00,67.31,67.35,67.27,67.35,2220
1703265600,2023-12-22T12:20:00.000-05:00,67.35,67.35,67.35,67.35,302
1703265720,2023-12-22T12:22:00.000-05:00,67.33,67.33,67.29,67.29,659
1703265840,2023-12-22T12:24:00.000-05:00,67.292,67.292,67.29,67.29,234
1703265900,2023-12-22T12:25:00.000-05:00,67.3,67.31,67.3,67.31,620
1703266080,2023-12-22T12:28:00.000-05:00,67.33,67.36,67.32,67.36,1851
1703266140,2023-12-22T12:29:00.000-05:00,67.38,67.38,67.38,67.38,237
1703266200,2023-12-22T12:30:00.000-05:00,67.34,67.34,67.34,67.34,570
1703266260,2023-12-22T12:31:00.000-05:00,67.3001,67.35,67.3001,67.345,3149
1703266860,2023-12-22T12:41:00.000-05:00,67.4,67.4,67.4,67.4,101
1703266980,2023-12-22T12:43:00.000-05:00,67.4,67.42,67.4,67.4,506
1703267040,2023-12-22T12:44:00.000-05:00,67.415,67.415,67.415,67.415,702
1703267160,2023-12-22T12:46:00.000-05:00,67.46,67.46,67.45,67.45,288
1703267220,2023-12-22T12:47:00.000-05:00,67.43,67.43,67.43,67.43,938
1703267400,2023-12-22T12:50:00.000-05:00,67.41,67.41,67.41,67.41,153
1703267700,2023-12-22T12:55:00.000-05:00,67.46,67.48,67.46,67.48,671
1703268060,2023-12-22T13:01:00.000-05:00,67.45,67.45,67.45,67.45,207
1703268240,2023-12-22T13:04:00.000-05:00,67.455,67.455,67.455,67.455,200
