timestamp,datetime,open,high,low,close,volume
1703255400,2023-12-22T09:30:00.000-05:00,99.35,99.35,99.35,99.35,1872
1703255580,2023-12-22T09:33:00.000-05:00,99.59,99.59,99.59,99.59,159
1703255640,2023-12-22T09:34:00.000-05:00,99.64,99.64,99.64,99.64,139
1703255760,2023-12-22T09:36:00.000-05:00,99.82,99.82,99.82,99.82,102
1703255820,2023-12-22T09:37:00.000-05:00,100.0,100.0,100.0,100.0,111
1703256120,2023-12-22T09:42:00.000-05:00,99.89,99.89,99.89,99.89,144
1703256240,2023-12-22T09:44:00.000-05:00,99.41,99.41,99.13,99.325,574
1703256300,2023-12-22T09:45:00.000-05:00,99.32,99.32,99.32,99.32,120
1703256720,2023-12-22T09:52:00.000-05:00,99.41,99.52,99.185,99.185,1117
1703256780,2023-12-22T09:53:00.000-05:00,99.26,99.53,99.26,99.41,2036
1703256900,2023-12-22T09:55:00.000-05:00,99.485,99.485,99.485,99.485,568
1703257020,2023-12-22T09:57:00.000-05:00,99.49,99.49,99.49,99.49,114
1703257140,2023-12-22T09:59:00.000-05:00,99.29,99.29,99.29,99.29,185
1703257200,2023-12-22T10:00:00.000-05:00,99.445,99.445,99.445,99.445,196
1703257320,2023-12-22T10:02:00.000-05:00,99.32,99.325,99.32,99.325,234
1703257680,2023-12-22T10:08:00.000-05:00,99.62,99.62,99.48,99.48,231
1703257800,2023-12-22T10:10:00.000-05:00,99.37,99.37,99.33,99.33,783
1703257860,2023-12-22T10:11:00.000-05:00,99.27,99.27,99.27,99.27,107
1703257920,2023-12-22T10:12:00.000-05:00,99.315,99.315,99.155,99.155,499
1703258040,2023-12-22T10:14:00.000-05:00,99.265,99.33,99.265,99.33,360
1703258100,2023-12-22T10:15:00.000-05:00,99.27,99.27,99.27,99.27,134
1703258160,2023-12-22T10:16:00.000-05:00,99.19,99.21,99.18,99.21,786
1703258220,2023-12-22T10:17:00.000-05:00,99.055,99.16,99.055,99.08,1305
1703258280,2023-12-22T10:18:00.000-05:00,99.11,99.165,99.0525,99.165,1029
1703258760,2023-12-22T10:26:00.000-05:00,99.33,99.335,99.29,99.29,1302
1703258820,2023-12-22T10:27:00.000-05:00,99.21,99.21,99.21,99.21,124
1703259060,2023-12-22T10:31:00.000-05:00,99.39,99.39,99.39,99.39,178
1703259240,2023-12-22T10:34:00.000-05:00,99.34,99.43,99.34,99.35,341
1703259300,2023-12-22T10:35:00.000-05:00,99.235,99.235,99.15,99.15,1638
1703259840,2023-12-22T10:44:00.000-05:00,99.1,99.1,99.02,99.02,1307
1703259900,2023-12-22T10:45:00.000-05:00,99.03,99.03,98.92,98.92,467
1703260020,2023-12-22T10:47:00.000-05:00,99.02,99.02,99.02,99.02,282
1703260320,2023-12-22T10:52:00.000-05:00,99.02,99.02,99.02,99.02,566
1703260740,2023-12-22T10:59:00.000-05:00,99.08,99.08,99.08,99.08,677
1703260920,2023-12-22T11:02:00.000-05:00,98.935,98.935,98.8,98.8,1087
1703261220,2023-12-22T11:07:00.000-05:00,98.905,98.905,98.905,98.905,118
1703261280,2023-12-22T11:08:00.000-05:00,99.1005,99.1005,98.97,98.97,346
1703261340,2023-12-22T11:09:00.000-05:00,98.99,98.99,98.9,98.9,536
1703261400,2023-12-22T11:10:00.000-05:00,98.9,98.9,98.9,98.9,100
1703261520,2023-12-22T11:12:00.000-05:00,98.99,99.01,98.87,98.87,2184
1703261640,2023-12-22T11:14:00.000-05:00,98.915,98.915,98.915,98.915,367
1703261880,2023-12-22T11:18:00.000-05:00,98.92,99.01,98.83,98.87,4678
1703261940,2023-12-22T11:19:00.000-05:00,98.93,98.935,98.89,98.89,954
1703262060,2023-12-22T11:21:00.000-05:00,98.99,99.06,98.93,98.93,3969
1703262120,2023-12-22T11:22:00.000-05:00,99.04,99.04,99.04,99.04,464
1703262180,2023-12-22T11:23:00.000-05:00,99.22,99.22,98.89,98.91,6376
1703262240,2023-12-22T11:24:00.000-05:00,98.96,98.96,98.96,98.96,173
1703262300,2023-12-22T11:25:00.000-05:00,99.0,99.05,99.0,99.0,1796
1703262360,2023-12-22T11:26:00.000-05:00,99.05,99.05,99.05,99.05,231
1703262420,2023-12-22T11:27:00.000-05:00,99.2,99.2,98.96,98.99,1223
1703262600,2023-12-22T11:30:00.000-05:00,98.995,99.03,98.97,98.97,2310
1703262720,2023-12-22T11:32:00.000-05:00,99.02,99.02,99.02,99.02,267
1703262780,2023-12-22T11:33:00.000-05:00,98.93,98.93,98.93,98.93,277
1703262840,2023-12-22T11:34:00.000-05:00,98.92,98.95,98.82,98.84,1330
1703263080,2023-12-22T11:38:00.000-05:00,98.92,98.92,98.77,98.8,915
1703263140,2023-12-22T11:39:00.000-05:00,98.66,98.67,98.66,98.67,565
1703263260,2023-12-22T11:41:00.000-05:00,98.71,98.71,98.71,98.71,222
1703263320,2023-12-22T11:42:00.000-05:00,98.78,98.79,98.78,98.79,753
1703263380,2023-12-22T11:43:00.000-05:00,98.68,98.68,98.68,98.68,232
1703263680,2023-12-22T11:48:00.000-05:00,98.56,98.56,98.56,98.56,862
1703263740,2023-12-22T11:49:00.000-05:00,98.665,98.665,98.53,98.53,678
1703263920,2023-12-22T11:52:00.000-05:00,98.734,98.734,98.734,98.734,257
1703263980,2023-12-22T11:53:00.000-05:00,98.78,98.78,98.78,98.78,157
1703264220,2023-12-22T11:57:00.000-05:00,98.84,99.04,98.84,99.04,267
1703264280,2023-12-22T11:58:00.000-05:00,98.805,98.805,98.8,98.8,415
1703264400,2023-12-22T12:00:00.000-05:00,98.815,98.815,98.815,98.815,234
