timestamp,datetime,open,high,low,close,volume
1703252160,2023-12-22T08:36:00.000-05:00,51.71,51.71,51.71,51.71,100
1703255400,2023-12-22T09:30:00.000-05:00,51.66,51.71,51.58,51.63,23830
1703255460,2023-12-22T09:31:00.000-05:00,51.7,51.81,51.7,51.81,4303
1703255520,2023-12-22T09:32:00.000-05:00,51.825,51.94,51.825,51.94,4735
1703255580,2023-12-22T09:33:00.000-05:00,51.94,52.05,51.935,52.05,15164
1703255640,2023-12-22T09:34:00.000-05:00,52.065,52.11,52.065,52.095,2858
1703255700,2023-12-22T09:35:00.000-05:00,52.06,52.12,52.055,52.12,8241
1703255760,2023-12-22T09:36:00.000-05:00,52.13,52.35,52.125,52.175,148049
1703255820,2023-12-22T09:37:00.000-05:00,52.18,52.19,52.08,52.09,18279
1703255880,2023-12-22T09:38:00.000-05:00,52.09,52.2,52.09,52.2,72176
1703255940,2023-12-22T09:39:00.000-05:00,52.24,52.26,52.195,52.195,1737
1703256000,2023-12-22T09:40:00.000-05:00,52.22,52.37,52.22,52.27,8018
1703256060,2023-12-22T09:41:00.000-05:00,52.28,52.31,52.2,52.28,5813
1703256120,2023-12-22T09:42:00.000-05:00,52.3,52.41,52.298,52.41,2387
1703256180,2023-12-22T09:43:00.000-05:00,52.36,52.37,52.31,52.34,4653
1703256240,2023-12-22T09:44:00.000-05:00,52.32,52.32,52.26,52.26,3604
1703256300,2023-12-22T09:45:00.000-05:00,52.26,52.34,52.25,52.321,10617
1703256360,2023-12-22T09:46:00.000-05:00,52.32,52.365,52.32,52.33,8722
1703256420,2023-12-22T09:47:00.000-05:00,52.32,52.36,52.291,52.31,6038
1703256480,2023-12-22T09:48:00.000-05:00,52.31,52.3202,52.2988,52.3202,2128
1703256540,2023-12-22T09:49:00.000-05:00,52.325,52.37,52.32,52.33,7186
1703256600,2023-12-22T09:50:00.000-05:00,52.32,52.325,52.3008,52.325,1672
1703256660,2023-12-22T09:51:00.000-05:00,52.32,52.32,52.225,52.225,4853
1703256720,2023-12-22T09:52:00.000-05:00,52.225,52.235,52.225,52.235,546
1703256780,2023-12-22T09:53:00.000-05:00,52.25,52.25,52.2,52.23,5026
